id_nivelriesgo,id_dispositivo,Puntuacion,Nivel_detectado,Vegetacion,Estacion
293,1,1.0,bajo,Sin vegetación,Seca
294,1,1.33333,bajo,Sin vegetación,Seca
295,1,1.33333,bajo,Sin vegetación,Seca
296,1,1.0,bajo,Sin vegetación,Seca
297,1,1.33333,bajo,Sin vegetación,Seca
298,1,1.33333,bajo,Sin vegetación,Seca
299,1,1.33333,bajo,Sin vegetación,Seca
300,1,1.0,bajo,Sin vegetación,Seca
301,1,1.0,bajo,Sin vegetación,Seca
302,1,1.33333,bajo,Sin vegetación,Seca
303,1,1.33333,bajo,Sin vegetación,Seca
304,1,1.0,bajo,Sin vegetación,Seca
305,1,1.33333,bajo,Sin vegetación,Seca
306,1,1.33333,bajo,Sin vegetación,Seca
307,1,1.33333,bajo,Sin vegetación,Seca
308,1,1.0,bajo,Sin vegetación,Seca
309,1,1.33333,bajo,Sin vegetación,Seca
310,1,1.33333,bajo,Sin vegetación,Seca
311,1,1.33333,bajo,Sin vegetación,Seca
312,1,1.33333,bajo,Sin vegetación,Seca
313,1,1.33333,bajo,Sin vegetación,Seca
314,1,1.33333,bajo,Sin vegetación,Seca
315,1,1.0,bajo,Sin vegetación,Seca
316,1,1.33333,bajo,Sin vegetación,Seca
317,1,1.0,bajo,Sin vegetación,Seca
318,1,1.33333,bajo,Sin vegetación,Seca
319,1,1.33333,bajo,Sin vegetación,Seca
320,1,1.0,bajo,Sin vegetación,Seca
321,1,1.33333,bajo,Sin vegetación,Seca
322,1,1.33333,bajo,Sin vegetación,Seca
323,1,1.33333,bajo,Sin vegetación,Seca
324,1,1.0,bajo,Sin vegetación,Seca
325,1,1.0,bajo,Sin vegetación,Seca
326,1,1.33333,bajo,Sin vegetación,Seca
327,1,1.33333,bajo,Sin vegetación,Seca
328,1,1.33333,bajo,Sin vegetación,Seca
329,1,1.33333,bajo,Sin vegetación,Seca
330,1,1.33333,bajo,Sin vegetación,Seca
331,1,1.33333,bajo,Sin vegetación,Seca
332,1,1.0,bajo,Sin vegetación,Seca
333,1,1.33333,bajo,Sin vegetación,Seca
334,1,1.33333,bajo,Sin vegetación,Seca
335,1,1.33333,bajo,Sin vegetación,Seca
336,1,1.33333,bajo,Sin vegetación,Seca
337,1,1.33333,bajo,Sin vegetación,Seca
338,1,1.33333,bajo,Sin vegetación,Seca
339,1,1.33333,bajo,Sin vegetación,Seca
340,1,1.33333,bajo,Sin vegetación,Seca
341,1,1.0,bajo,Sin vegetación,Seca
342,1,1.0,bajo,Sin vegetación,Seca
343,1,1.0,bajo,Sin vegetación,Seca
344,1,1.0,bajo,Sin vegetación,Seca
345,1,1.0,bajo,Sin vegetación,Seca
346,1,1.33333,bajo,Sin vegetación,Seca
347,1,1.33333,bajo,Sin vegetación,Seca
348,1,1.0,bajo,Sin vegetación,Seca
349,1,1.33333,bajo,Sin vegetación,Seca
350,1,1.33333,bajo,Sin vegetación,Seca
